"","ModelNames","par1","par2","xmin","n","AICc","Delta_AICc","AICc_weight","Network"
"1","Power",1.3491482166531,NA,1,145,1280.72614214224,207.330002377095,6.62059056942618e-46,"Beagle"
"2","LogNorm",2.34791797243846,0.973290444940613,1,145,1089.8723273186,16.4761875534589,0.000183770605008935,"Beagle"
"3","Exp",0.0672376869546835,NA,1,145,1075.04529930831,1.64915954316257,0.304736355341764,"Beagle"
"4","Poisson",15.3793071385273,NA,1,145,1979.95751163734,906.561371872195,9.65459495727964e-198,"Beagle"
"5","PowerExp",0.318943527000182,0.0868433721562718,1,145,1073.39613976515,0,0.695079874053227,"Beagle"
"6","Uniform",71,NA,1,145,1238.28527245009,164.889132684944,1.08846504914791e-36,"Beagle"
"7","Power",1.38750276097366,NA,1,110,888.599690680666,133.089921476097,7.89005347083535e-30,"Potter"
"8","LogNorm",2.06537496561455,0.98643072760622,1,110,768.041824872683,12.5320556681136,0.00119093451425203,"Potter"
"9","Exp",0.0885571512506296,NA,1,110,755.509769204569,0,0.626886898430277,"Potter"
"10","Poisson",11.799911457202,NA,1,110,1296.26532854468,540.755559340116,2.36380394694451e-118,"Potter"
"11","PowerExp",0.210381569559953,0.105073160582156,1,110,756.553932274662,1.04416307009308,0.371922167055471,"Potter"
"12","Uniform",67,NA,1,110,927.157376266013,171.647607061444,3.34491359833598e-38,"Potter"
