"","x"
"Aged detritus",26
"Benthic Diatomea",36
"Fresh detritus",42
"Phytoplankton",23
"Polychaeta",27
"Copepoda",27
"Polynoidae",18
"Zooplankton",17
"Gastropoda",18
"Hydrozoa",19
"Porifera",18
"Bovallia gigantea",20
"Charcotia obesa",9
"Eurymera monticulosa",8
"Gitanopsis squamosa",8
"Gondogeneia antarctica",20
"Paradexamine sp.",5
"Prostebbingia gracilis",17
"Prostebbingia sp.",18
"Pariphimedia integricauda",8
"Euphausia superba",17
"Priapulida",5
"Chaenocephalus aceratus",9
"Gobionotothen gibberifrons",15
"Harpagifer antarcticus",28
"Lindbergichthys nudifrons",21
"Mysida",16
"Notothenia rossii",41
"Octopoda",8
"Ophionotus victoriae",32
"Parachaenichthys charcoti",3
"Necromass",25
"Aequiyoldia eightsii",12
"Neobuccinum eatoni",9
"Chalinidae",8
"Dendrilla antarctica",3
"Rosella antartica",9
"Rossella sp.",8
"Stylo_Myca",11
"Bryozoa",11
"Epiphytic Diatomea",7
"Salpidae",13
"Desmarestia anceps",6
"Desmarestia antarctica",6
"Desmarestia menziesii",7
"Gammaridea",22
"Ostracoda",20
"Palmaria decipiens",11
"Oligochaeta",6
"Polyplacophora",10
"Tanaidacea",9
"Glyptonotus antarcticus",15
"Nereididae",22
"Cumacea",9
"Oradarea bidentata",7
"Probolisca ovata",6
"Serolis sp.",7
"Adenocystis utricularis",3
"Gigartina skottsbergii",8
"Iridaea cordata",6
"Myriogramme manginii",4
"Phaeurus antarcticus ",2
"Plocamium cartilagineum",6
"Cheirimedon femoratus",9
"Djerboa furcipes",8
"Eatoniella sp.",6
"Laevilacunaria antarctica",11
"Margarella antarctica",5
"Nacella concinna",10
"Orchomenella sp.",11
"Paradexamine fissicauda",10
"Nemertea",14
"Curdiea racovitzae",2
"Georgiella confluens ",3
"Monostroma hariotii",2
"Ascidiacea",9
"Pseudorchomene plebs",4
"Ascoseira mirabilis",2
"Ulothrix sp.",1
"Spionidae",5
"Terebellidae",6
"Laternula elliptica",9
"Callophyllis atrosanguinea ",1
"Cephalopoda",8
"Hemiarthrum setulosum",6
"Hippomedon kergueleni",6
"Hyperiidea",10
"Lambia antarctica ",1
"Neuroglossum delesseriae",1
"Pantoneura plocamioides ",1
"Picconiella plumosa ",1
"Porphyra plocamiestris ",1
"Trematocarpus antarcticus",1
"Urospora penicilliformis",1
"Sterechinus neumayeri",21
"Doris kerguelenensis",9
"Aglaophamus trissophyllus",9
"Geminocarpus geminatus",1
"Barrukia cristata",7
"Trematomus newnesi",26
"Diplasterias brucei",7
"Odontaster meridionalis",7
"Odontaster validus",24
"Perknaster fuscus antarticus",5
"Trematomus bernacchii",37
"Malacobelemnon daytoni",2
"Notothenia coriiceps",67
"Parborlasia corrugatus",13
"Perknaster aurorae",1
"Urticinopsis antarctica",10
